selection_metric,method,K,run,seed,silhouette,calinski_harabasz,davies_bouldin,n_iterations,converged
silhouette,kmeans,2,2,1202,0.1668987122812282,5591.225848919282,2.5689524391590073,5,True
calinski_harabasz,kmeans,2,1,1201,0.11020107900424884,7585.001625895203,2.534780185703148,34,True
davies_bouldin,kmeans,3,1,1301,0.1282221098236635,6952.931330378762,2.3321441970110914,19,True
