method,K,run,seed,silhouette,calinski_harabasz,davies_bouldin,n_iterations,converged
kmeans,2,1,1201,0.15577556800747827,9782.089795987544,2.277260292639819,39,True
kmeans,2,2,1202,0.15577556800747827,9782.089795987544,2.277260292639819,51,True
kmeans,2,3,1203,0.15533781822205897,9782.07651305668,2.2790455503151668,68,True
kmeans,2,4,1204,0.15533781822205897,9782.07651305668,2.2790455503151668,80,True
kmeans,2,5,1205,0.20544984438587474,7215.424456960596,1.8601295783158704,5,True
kmeans,2,6,1206,0.20544984438587474,7215.424456960596,1.8601295783158704,5,True
kmeans,2,7,1207,0.15533781822205897,9782.07651305668,2.2790455503151668,93,True
kmeans,2,8,1208,0.15577556800747827,9782.089795987544,2.277260292639819,50,True
kmeans,2,9,1209,0.15577556800747827,9782.089795987544,2.277260292639819,53,True
kmeans,2,10,1210,0.13256057850599673,9972.402471724105,2.25846976129764,44,True
kmeans,3,1,1301,0.15180738540862868,9367.782356362728,2.060498708015443,27,True
kmeans,3,2,1302,0.15180738540862868,9367.78235636273,2.060498708015443,27,True
kmeans,3,3,1303,0.15186185237803235,9367.78172474022,2.0599253157140227,40,True
kmeans,3,4,1304,0.18471696997243425,9195.336535039512,1.9244435673915923,29,True
kmeans,3,5,1305,0.15186185237803235,9367.781724740218,2.0599253157140227,26,True
kmeans,3,6,1306,0.15180738540862868,9367.78235636273,2.060498708015443,27,True
kmeans,3,7,1307,0.15186185237803235,9367.781724740222,2.0599253157140227,19,True
kmeans,3,8,1308,0.15180780008667286,9367.782212417169,2.0604620554032453,21,True
kmeans,3,9,1309,0.18471696997243425,9195.336535039512,1.9244435673915923,43,True
kmeans,3,10,1310,0.14795258422557153,9087.255319837219,1.9385515474438633,95,True
kmeans,4,1,1401,0.10762896050392025,7112.277481408699,2.155625988333612,21,True
kmeans,4,2,1402,0.17130695397174323,9571.156082920756,1.796892310975795,43,True
kmeans,4,3,1403,0.1468148262074189,9498.749470970013,1.8901221078593498,37,True
kmeans,4,4,1404,0.1468148262074189,9498.749470970013,1.8901221078593495,30,True
kmeans,4,5,1405,0.1468179647924577,9498.749496287968,1.8901003050894167,32,True
kmeans,4,6,1406,0.14681111170093075,9498.749516034204,1.8901155949008115,18,True
kmeans,4,7,1407,0.1714985427707282,9571.150661792097,1.795809476086605,19,True
kmeans,4,8,1408,0.14674812591614436,9498.746162519425,1.8894326317574215,21,True
kmeans,4,9,1409,0.1468148262074189,9498.749470970011,1.8901221078593498,33,True
kmeans,4,10,1410,0.17130695397174323,9571.156082920756,1.796892310975795,38,True
kmeans,5,1,1501,0.16326521835926108,7630.649865034956,2.011962949513918,23,True
kmeans,5,2,1502,0.1647093180411543,10173.99653188569,1.6906654063747262,19,True
kmeans,5,3,1503,0.1646983040105734,10173.9965533799,1.6907379739217627,50,True
kmeans,5,4,1504,0.1647078387699963,10173.996524660231,1.6906407412536488,40,True
kmeans,5,5,1505,0.1646983040105734,10173.9965533799,1.6907379739217627,47,True
kmeans,5,6,1506,0.1646983040105734,10173.996553379902,1.6907379739217632,70,True
kmeans,5,7,1507,0.16469273425851452,10173.996720064306,1.6907413246838494,19,True
kmeans,5,8,1508,0.1646983040105734,10173.996553379904,1.6907379739217627,60,True
