selection_metric,method,min_cluster_size,K,silhouette,calinski_harabasz,davies_bouldin,n_iterations,converged,ap_cluster_sizes,ap_scatter_pct
silhouette,ikmeans,5000,6,0.13554276108141794,12425.94986917908,2.123793524244974,24,True,"[18701, 22919, 28735, 26299, 5073, 5822]","[9.574153826057527, 8.908000582667306, 6.726528783966035, 3.58821633315195, 0.928581596907715, 1.4238779342836791]"
calinski_harabasz,ikmeans,8000,4,0.13163403969720003,15704.284912730902,2.0885873108895194,23,True,"[18701, 22919, 28735, 26299]","[9.574153826057527, 8.908000582667306, 6.726528783966035, 3.58821633315195]"
davies_bouldin,ikmeans,1000,9,0.13475305104049712,10485.155370932329,1.8770835631368028,12,True,"[18701, 22919, 28735, 3621, 3493, 4253, 26299, 5073, 5822]","[9.574153826057527, 8.908000582667306, 6.726528783966035, 1.4428493077461029, 0.7543954221771885, 1.6598888704599977, 3.58821633315195, 0.928581596907715, 1.4238779342836791]"
