selection_metric,method,K,run,seed,covariance_type,silhouette,calinski_harabasz,davies_bouldin,aic,bic,n_iterations,converged,avg_max_membership,pct_ambiguous_0_70,cluster_sizes
silhouette,gmm,3,1,3301,tied,0.12224628673884806,12388.911381635038,2.3603153759174056,-9070121.8038559,-9061410.35835472,9,True,0.9791759496861077,0.028277075131920595,"[38575, 70054, 10761]"
calinski_harabasz,gmm,3,1,3301,tied,0.12224628673884806,12388.911381635038,2.3603153759174056,-9070121.8038559,-9061410.35835472,9,True,0.9791759496861077,0.028277075131920595,"[38575, 70054, 10761]"
davies_bouldin,gmm,3,2,3302,tied,0.12224453171842424,12388.709156378705,2.3603066243826247,-9070122.381849196,-9061410.936348015,9,True,0.979177093592646,0.028277075131920595,"[70055, 38575, 10760]"
aic,gmm,3,2,3302,diag,0.07784079114692084,6476.992352234889,3.354351349332628,-12127421.884986728,-12125135.009415785,12,True,0.9997777540670475,0.00020939777200770584,"[18255, 18665, 82470]"
bic,gmm,3,2,3302,diag,0.07784079114692084,6476.992352234889,3.354351349332628,-12127421.884986728,-12125135.009415785,12,True,0.9997777540670475,0.00020939777200770584,"[18255, 18665, 82470]"
