,representation_id,cluster,lead_time,stays_in_week_nights,distribution_channel_TA/TO,distribution_channel_Direct,market_segment_Direct,adults,stays_in_weekend_nights,hotel_Resort Hotel,hotel_City Hotel,market_segment_Online TA,previous_bookings_not_canceled,market_segment_Groups
cluster_mean,R1-robust-noADR_kmeans_K5_run10_seed1510,2,-1.3557078571306276,-0.36078821840411246,0.3964710785902839,0.41115176214513965,0.38040105589774464,-0.4063353864678368,-0.26638262399851803,0.5222062705506414,0.4777937294493586,0.2991247163432594,0.19636424186742862,0.014819617468624091
grand_mean,R1-robust-noADR_kmeans_K5_run10_seed1510,2,-0.1911149426039387,0.23358321467459586,0.8197503978557669,0.12266521484211408,0.1055867325571656,-0.14359661613200436,-0.04930898735237457,0.33553898986514785,0.6644610101348521,0.47304631878716813,0.04012632163765451,0.16593517044978642
difference,R1-robust-noADR_kmeans_K5_run10_seed1510,2,-1.164592914526689,-0.5943714330787083,-0.42327931926548296,0.2884865473030256,0.27481432334057904,-0.26273877033583243,-0.21707363664614346,0.18666728068549354,-0.18666728068549354,-0.17392160244390875,0.15623792022977412,-0.15111555298116233
