,representation_id,cluster,stays_in_week_nights,stays_in_weekend_nights,hotel_Resort Hotel,hotel_City Hotel,lead_time,adults,deposit_type_Non Refund,deposit_type_No Deposit,market_segment_Groups,customer_type_Transient-Party,market_segment_Offline TA/TO,arrival_date_month_August
cluster_mean,R1-robust-noADR_kmeans_K5_run10_seed1510,4,1.705559112249253,0.4740183525394793,0.799029022620572,0.2009709773794281,0.14967852715465174,-0.030943235168587283,0.018832693128467776,0.979673495518566,0.06988903115663679,0.11513017498932993,0.2881455399061033,0.1931284677763551
grand_mean,R1-robust-noADR_kmeans_K5_run10_seed1510,4,0.23358321467459586,-0.04930898735237457,0.33553898986514785,0.6644610101348521,-0.1911149426039387,-0.14359661613200436,0.1221794120110562,0.8764636904263339,0.16593517044978642,0.21043638495686406,0.20285618561018512,0.11623251528603736
difference,R1-robust-noADR_kmeans_K5_run10_seed1510,4,1.4719758975746573,0.5233273398918539,0.4634900327554241,-0.46349003275542405,0.34079346975859043,0.11265338096341708,-0.10334671888258842,0.1032098050922321,-0.09604613929314963,-0.09530620996753414,0.08528935429591819,0.07689595249031773
