,representation_id,cluster,market_segment_Online TA,customer_type_Transient,customer_type_Transient-Party,hotel_City Hotel,hotel_Resort Hotel,market_segment_Groups,adults,stays_in_week_nights,distribution_channel_TA/TO,deposit_type_No Deposit,deposit_type_Non Refund,market_segment_Offline TA/TO
cluster_mean,R1-robust-noADR_kmeans_K5_run10_seed1510,3,0.8627912237050441,0.9707306039357612,0.0005202442886224836,0.8283646233883737,0.17163537661162634,0.0021488351051798236,0.00809771544899344,0.08297896403528614,0.9652567292467767,0.9997285681972404,0.0,0.10194526125311015
grand_mean,R1-robust-noADR_kmeans_K5_run10_seed1510,3,0.47304631878716813,0.7505905017170618,0.21043638495686406,0.6644610101348521,0.33553898986514785,0.16593517044978642,-0.14359661613200436,0.23358321467459586,0.8197503978557669,0.8764636904263339,0.1221794120110562,0.20285618561018512
difference,R1-robust-noADR_kmeans_K5_run10_seed1510,3,0.389744904917876,0.2201401022186994,-0.20991614066824157,0.16390361325352154,-0.1639036132535215,-0.1637863353446066,0.1516943315809978,-0.1506042506393097,0.14550633139100988,0.12326487777090656,-0.1221794120110562,-0.10091092435707497
