,representation_id,cluster,deposit_type_Non Refund,deposit_type_No Deposit,lead_time,market_segment_Online TA,market_segment_Groups,hotel_Resort Hotel,hotel_City Hotel,stays_in_week_nights,has_previous_cancellation,stays_in_weekend_nights,market_segment_Offline TA/TO,customer_type_Transient
cluster_mean,R1-robust-noADR_kmeans_K5_run10_seed1510,0,0.9963057686842853,0.003694231315714692,0.4149486759054047,0.0009946007388462632,0.6315004262574595,0.09001136686558682,0.9099886331344131,0.0023088945723216824,0.252770673486786,-0.2130576868428531,0.3495311167945439,0.8888888888888888
grand_mean,R1-robust-noADR_kmeans_K5_run10_seed1510,0,0.1221794120110562,0.8764636904263339,-0.1911149426039387,0.47304631878716813,0.16593517044978642,0.33553898986514785,0.6644610101348521,0.23358321467459586,0.054309406147918585,-0.04930898735237457,0.20285618561018512,0.7505905017170618
difference,R1-robust-noADR_kmeans_K5_run10_seed1510,0,0.8741263566732291,-0.8727694591106192,0.6060636185093433,-0.47205171804832186,0.46556525580767305,-0.24552762299956105,0.245527622999561,-0.23127432010227417,0.19846126733886743,-0.16374869949047852,0.1466749311843588,0.13829838717182708
