,representation_id,cluster,customer_type_Transient-Party,customer_type_Transient,market_segment_Online TA,lead_time,market_segment_Groups,stays_in_week_nights,market_segment_Offline TA/TO,adults,deposit_type_Non Refund,deposit_type_No Deposit,hotel_City Hotel,hotel_Resort Hotel
cluster_mean,R1-robust-noADR_kmeans_K5_run10_seed1510,1,0.9718303076997159,0.005104251938171137,0.12336880627919294,0.10641789899326301,0.4428660856166033,0.00038522656137140657,0.35763470891317956,-0.2656137140655848,0.00414118553474262,0.9906582558867434,0.7615447585110994,0.23845524148890065
grand_mean,R1-robust-noADR_kmeans_K5_run10_seed1510,1,0.21043638495686406,0.7505905017170618,0.47304631878716813,-0.1911149426039387,0.16593517044978642,0.23358321467459586,0.20285618561018512,-0.14359661613200436,0.1221794120110562,0.8764636904263339,0.6644610101348521,0.33553898986514785
difference,R1-robust-noADR_kmeans_K5_run10_seed1510,1,0.7613939227428519,-0.7454862497788907,-0.3496775125079752,0.2975328415972017,0.2769309151668169,-0.23319798811322445,0.15477852330299444,-0.12201709793358045,-0.11803822647631358,0.11419456546040951,0.09708374837624723,-0.0970837483762472
