method,representation_id,cluster,n,pct_total,canceled_count,not_canceled_count,cancellation_rate,global_cancellation_rate,difference_from_global
kmeans,R0-standard-noADR_kmeans_K5_seed1504,0,41654,0.3488901918083592,21177,20477,0.5084025543765305,0.37041628277075134,0.13798627160577914
kmeans,R0-standard-noADR_kmeans_K5_seed1504,1,31570,0.26442750649133095,11980,19590,0.3794741843522331,0.37041628277075134,0.009057901581481786
kmeans,R0-standard-noADR_kmeans_K5_seed1504,2,16104,0.13488566881648378,5522,10582,0.34289617486338797,0.37041628277075134,-0.027520107907363367
kmeans,R0-standard-noADR_kmeans_K5_seed1504,3,8697,0.0728452969260407,3101,5596,0.3565597332413476,0.37041628277075134,-0.013856549529403739
kmeans,R0-standard-noADR_kmeans_K5_seed1504,4,21365,0.1789513359577854,2444,18921,0.11439269833840393,0.37041628277075134,-0.2560235844323474
