selection_metric,method,K,run,seed,covariance_type,silhouette,calinski_harabasz,davies_bouldin,aic,bic,n_iterations,converged,avg_max_membership,pct_ambiguous_0_70,cluster_sizes
silhouette,gmm,2,3,3203,tied,0.2748878474963557,13188.429261494884,1.5103421766574991,-8005762.860021777,-7997439.02054957,2,True,0.9999961233903023,8.375910880308233e-06,"[9334, 110056]"
calinski_harabasz,gmm,3,4,3304,tied,0.1447466088545546,14752.2859031954,1.9870074289306092,-8025686.433103878,-8016974.987602697,6,True,0.9451010080289686,0.026802914816986347,"[33044, 77014, 9332]"
davies_bouldin,gmm,2,3,3203,tied,0.2748878474963557,13188.429261494884,1.5103421766574991,-8005762.860021777,-7997439.02054957,2,True,0.9999961233903023,8.375910880308233e-06,"[9334, 110056]"
aic,gmm,8,5,3805,diag,0.05938093849303412,4619.642061673967,3.3337238255266803,-19286626.004280254,-19280511.519173197,23,True,0.9995880980296455,0.0008878465533126728,"[5800, 6440, 13631, 18969, 1927, 52661, 1993, 17969]"
bic,gmm,8,5,3805,diag,0.05938093849303412,4619.642061673967,3.3337238255266803,-19286626.004280254,-19280511.519173197,23,True,0.9995880980296455,0.0008878465533126728,"[5800, 6440, 13631, 18969, 1927, 52661, 1993, 17969]"
