selection_metric,method,min_cluster_size,K,silhouette,calinski_harabasz,davies_bouldin,n_iterations,converged,ap_cluster_sizes,ap_scatter_pct
silhouette,ikmeans,3000,8,0.13995456016507288,14317.715000438468,1.8049784556168,42,True,"[9298, 16294, 21276, 4405, 28462, 3142, 13600, 12615]","[9.108009107026735, 8.342199220952146, 7.3731767872192595, 1.8220447322694955, 4.9493156127358775, 0.7202049700381713, 1.882197452139143, 1.6490641261388799]"
calinski_harabasz,ikmeans,11000,5,0.12382997498983199,15326.760903150594,1.9359977170973153,28,True,"[16294, 21276, 28462, 13600, 12615]","[8.342199220952146, 7.3731767872192595, 4.9493156127358775, 1.882197452139143, 1.6490641261388799]"
davies_bouldin,ikmeans,3000,8,0.13995456016507288,14317.715000438468,1.8049784556168,42,True,"[9298, 16294, 21276, 4405, 28462, 3142, 13600, 12615]","[9.108009107026735, 8.342199220952146, 7.3731767872192595, 1.8220447322694955, 4.9493156127358775, 0.7202049700381713, 1.882197452139143, 1.6490641261388799]"
