method,min_cluster_size,K,silhouette,calinski_harabasz,davies_bouldin,n_iterations,converged,ap_cluster_sizes,ap_scatter_pct
ikmeans,1000,12,0.12069691176931191,11264.497128165975,1.8209710407876203,24,True,"[2070, 9298, 16294, 21276, 4405, 28462, 3142, 2846, 13600, 12615, 2585, 2369]","[9.630259032103739, 9.108009107026735, 8.342199220952146, 7.3731767872192595, 1.8220447322694955, 4.9493156127358775, 0.7202049700381713, 0.6792671187887273, 1.882197452139143, 1.6490641261388799, 0.27460860617602806, 0.1566179513688239]"
ikmeans,1500,12,0.12069691176931191,11264.497128165975,1.8209710407876203,24,True,"[2070, 9298, 16294, 21276, 4405, 28462, 3142, 2846, 13600, 12615, 2585, 2369]","[9.630259032103739, 9.108009107026735, 8.342199220952146, 7.3731767872192595, 1.8220447322694955, 4.9493156127358775, 0.7202049700381713, 0.6792671187887273, 1.882197452139143, 1.6490641261388799, 0.27460860617602806, 0.1566179513688239]"
ikmeans,2000,12,0.12069691176931191,11264.497128165975,1.8209710407876203,24,True,"[2070, 9298, 16294, 21276, 4405, 28462, 3142, 2846, 13600, 12615, 2585, 2369]","[9.630259032103739, 9.108009107026735, 8.342199220952146, 7.3731767872192595, 1.8220447322694955, 4.9493156127358775, 0.7202049700381713, 0.6792671187887273, 1.882197452139143, 1.6490641261388799, 0.27460860617602806, 0.1566179513688239]"
ikmeans,3000,8,0.13995456016507288,14317.715000438468,1.8049784556168,42,True,"[9298, 16294, 21276, 4405, 28462, 3142, 13600, 12615]","[9.108009107026735, 8.342199220952146, 7.3731767872192595, 1.8220447322694955, 4.9493156127358775, 0.7202049700381713, 1.882197452139143, 1.6490641261388799]"
ikmeans,5000,6,0.11622747451406314,13924.037684927378,1.9172533974585058,17,True,"[9298, 16294, 21276, 28462, 13600, 12615]","[9.108009107026735, 8.342199220952146, 7.3731767872192595, 4.9493156127358775, 1.882197452139143, 1.6490641261388799]"
ikmeans,8000,6,0.11622747451406314,13924.037684927378,1.9172533974585058,17,True,"[9298, 16294, 21276, 28462, 13600, 12615]","[9.108009107026735, 8.342199220952146, 7.3731767872192595, 4.9493156127358775, 1.882197452139143, 1.6490641261388799]"
ikmeans,9000,6,0.11622747451406314,13924.037684927378,1.9172533974585058,17,True,"[9298, 16294, 21276, 28462, 13600, 12615]","[9.108009107026735, 8.342199220952146, 7.3731767872192595, 4.9493156127358775, 1.882197452139143, 1.6490641261388799]"
ikmeans,11000,5,0.12382997498983199,15326.760903150594,1.9359977170973153,28,True,"[16294, 21276, 28462, 13600, 12615]","[8.342199220952146, 7.3731767872192595, 4.9493156127358775, 1.882197452139143, 1.6490641261388799]"
