K,silhouette_mean,silhouette_std,calinski_harabasz_mean,calinski_harabasz_std,davies_bouldin_mean,davies_bouldin_std,n_iterations_mean,n_iterations_std,ari_mean,ari_std
2,0.1588,0.0454,15700.3098,878.4414,2.2536,0.2598,24.9,12.9224,0.3705,0.4648
3,0.1416,0.0324,15211.7796,1292.5071,2.1789,0.1981,26.1,2.7669,0.6046,0.339
4,0.1308,0.0296,14831.1619,1525.8102,2.0909,0.2519,29.1,14.0669,0.508,0.184
5,0.1315,0.0184,15047.909,2091.58,1.918,0.184,25.3,8.1384,0.5569,0.2265
6,0.1338,0.0104,15336.035,1815.0749,1.8306,0.1114,24.9,7.3401,0.5567,0.1764
7,0.1372,0.008,15695.919,287.7245,1.7622,0.0407,32.5,14.2302,0.6184,0.1289
8,0.1368,0.0081,14479.2531,1038.48,1.7853,0.067,30.5,15.3061,0.6308,0.1307
