covariance_type,K,silhouette_mean,silhouette_std,calinski_harabasz_mean,calinski_harabasz_std,davies_bouldin_mean,davies_bouldin_std,aic_mean,aic_std,bic_mean,bic_std,n_iterations_mean,n_iterations_std,avg_max_membership_mean,avg_max_membership_std,pct_ambiguous_0_70_mean,pct_ambiguous_0_70_std,ari_mean,ari_std
diag,2,0.1467,0.0466,7045.1203,2173.351,3.3236,0.5195,-5500790.7223,570824.8315,-5499269.3686,570824.8315,6.0,0.0,1.0,0.0,0.0,0.0,0.1805,0.0
diag,3,0.0596,0.0021,7350.2862,365.5444,2.9026,0.2727,-11072414.0122,2508185.8383,-11070127.1366,2508185.8383,10.0,4.2426,1.0,0.0,0.0,0.0,0.5458,0.0
tied,2,0.1611,0.0395,11464.5736,4461.061,2.5936,0.2692,-8307474.6877,627273.4625,-8299150.8483,627273.4625,12.5,9.1924,0.984,0.0226,0.0017,0.0024,-0.0299,0.0
tied,3,0.1701,0.1207,7537.9474,3866.5494,2.4797,0.8444,-9270140.5508,1528.1409,-9261429.1053,1528.1409,25.0,11.3137,1.0,0.0,0.0,0.0,0.2717,0.0
