selection_metric,method,K,run,seed,covariance_type,silhouette,calinski_harabasz,davies_bouldin,aic,bic,n_iterations,converged,avg_max_membership,pct_ambiguous_0_70,cluster_sizes
silhouette,gmm,2,4,3204,tied,0.17365756700642793,14187.624261046209,1.8641652579059653,-8826774.009416869,-8818450.16994466,8,True,0.9797839896184568,0.02426501382025295,"[103445, 15945]"
calinski_harabasz,gmm,2,3,3203,tied,0.17293367344944452,14327.40760953403,1.8599713330505216,-8826271.885869477,-8817948.046397269,7,True,0.979350456217163,0.024005360582963396,"[16091, 103299]"
davies_bouldin,gmm,2,3,3203,tied,0.17293367344944452,14327.40760953403,1.8599713330505216,-8826271.885869477,-8817948.046397269,7,True,0.979350456217163,0.024005360582963396,"[16091, 103299]"
aic,gmm,8,3,3803,diag,0.12789243735649342,7444.456419467525,3.2259298964317695,-19958311.125253417,-19952196.64014636,9,True,0.9997199787903053,6.700728704246586e-05,"[14498, 36587, 21861, 15880, 2325, 12156, 2026, 14057]"
bic,gmm,8,3,3803,diag,0.12789243735649342,7444.456419467525,3.2259298964317695,-19958311.125253417,-19952196.64014636,9,True,0.9997199787903053,6.700728704246586e-05,"[14498, 36587, 21861, 15880, 2325, 12156, 2026, 14057]"
