,representation_id,cluster,kids,market_segment_Online TA,adults,stays_in_weekend_nights,stays_in_week_nights,market_segment_Groups,customer_type_Transient,customer_type_Transient-Party,market_segment_Offline TA/TO,deposit_type_No Deposit,deposit_type_Non Refund,previous_bookings_not_canceled
cluster_mean,R0-standard-noADR_gmm_tied_K2_run3_seed3203,1,-0.2710767021632803,0.45254234208039545,-0.01705593380659317,-0.01687576951060658,-0.016848276142580873,0.17948135494657266,0.737388238714836,0.2223958711928473,0.2134913135131206,0.86607726975358,0.13248709747764775,0.010178263508149937
grand_mean,R0-standard-noADR_gmm_tied_K2_run3_seed3203,1,-2.2853539704487684e-17,0.47304631878716813,6.665615747142242e-18,-6.856061911346305e-17,1.2188554509060098e-16,0.16593517044978642,0.7505905017170618,0.21043638495686406,0.20285618561018512,0.8764636904263339,0.1221794120110562,-2.6662462988568967e-17
difference,R0-standard-noADR_gmm_tied_K2_run3_seed3203,1,-0.2710767021632803,-0.020503976706772675,-0.017055933806593176,-0.01687576951060651,-0.016848276142580994,0.01354618449678624,-0.013202263002225711,0.011959486235983224,0.01063512790293547,-0.01038642067275386,0.010307685466591554,0.010178263508149963
