method,representation_id,cluster,n,pct_total,canceled_count,not_canceled_count,cancellation_rate,global_cancellation_rate,difference_from_global
gmm,R0-standard-noADR_gmm_tied_K2_run3_seed3203,0,9334,0.07818075215679705,3261,6073,0.3493679022926934,0.37041628277075134,-0.02104838047805796
gmm,R0-standard-noADR_gmm_tied_K2_run3_seed3203,1,110056,0.9218192478432029,40963,69093,0.37220142472922874,0.37041628277075134,0.0017851419584773986
