,representation_id,cluster,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,kids,market_segment_Direct,distribution_channel_Direct,distribution_channel_TA/TO,hotel_Resort Hotel,hotel_City Hotel,market_segment_Groups,market_segment_Offline TA/TO
cluster_mean,R0-standard-noADR_ikmeans_minSize3000_K8,7,-1.3835762232371704,-0.5874126626877586,-0.5381404384008458,0.288258368598962,-0.21395745204933111,0.28148193963384466,0.29614052449282535,0.6569767441860465,0.49041316180108857,0.5095868381989115,0.03506927263730826,0.08003463631865414
grand_mean,R0-standard-noADR_ikmeans_minSize3000_K8,7,-1.2379000673264163e-16,-6.856061911346305e-17,1.2188554509060098e-16,6.665615747142242e-18,-2.2853539704487684e-17,0.1055867325571656,0.12266521484211408,0.8197503978557669,0.33553898986514785,0.6644610101348521,0.16593517044978642,0.20285618561018512
difference,R0-standard-noADR_ikmeans_minSize3000_K8,7,-1.3835762232371702,-0.5874126626877585,-0.5381404384008459,0.288258368598962,-0.2139574520493311,0.17589520707667905,0.17347530965071128,-0.1627736536697204,0.15487417193594072,-0.15487417193594066,-0.13086589781247815,-0.12282154929153098
