,representation_id,cluster,adults,lead_time,stays_in_week_nights,stays_in_weekend_nights,kids,distribution_channel_TA/TO,distribution_channel_Corporate,market_segment_Corporate,market_segment_Online TA,deposit_type_No Deposit,deposit_type_Non Refund,arrival_date_month_August
cluster_mean,R0-standard-noADR_ikmeans_minSize3000_K8,5,-1.4974905767533457,-1.0837111726232644,-0.6069972065861172,-0.5268698452167583,-0.2653059813302917,0.5659074676612967,0.22958495357511308,0.20823744147289897,0.3282279184191731,0.9624632965637647,0.037139909530989605,0.04317117689072296
grand_mean,R0-standard-noADR_ikmeans_minSize3000_K8,5,6.665615747142242e-18,-1.2379000673264163e-16,1.2188554509060098e-16,-6.856061911346305e-17,-2.2853539704487684e-17,0.8197503978557669,0.05592595694781807,0.044350448111232094,0.47304631878716813,0.8764636904263339,0.1221794120110562,0.11623251528603736
difference,R0-standard-noADR_ikmeans_minSize3000_K8,5,-1.4974905767533457,-1.0837111726232642,-0.6069972065861173,-0.5268698452167582,-0.2653059813302917,-0.25384293019447013,0.173658996627295,0.16388699336166687,-0.14481840036799504,0.08599960613743085,-0.08503950248006659,-0.0730613383953144
