,representation_id,cluster,previous_bookings_not_canceled,lead_time,adults,distribution_channel_TA/TO,stays_in_week_nights,stays_in_weekend_nights,distribution_channel_Corporate,market_segment_Corporate,market_segment_Online TA,kids,has_previous_cancellation,hotel_Resort Hotel
cluster_mean,R0-standard-noADR_ikmeans_minSize3000_K8,2,6.713894960350164,-1.3897127809402838,-1.1400974191697417,0.15249266862170088,-0.6549450337089204,-0.5973838452586462,0.6373411534701857,0.6099706744868035,0.09775171065493646,-0.23790511711856543,0.2776148582600195,0.5039100684261975
grand_mean,R0-standard-noADR_ikmeans_minSize3000_K8,2,-2.6662462988568967e-17,-1.2379000673264163e-16,6.665615747142242e-18,0.8197503978557669,1.2188554509060098e-16,-6.856061911346305e-17,0.05592595694781807,0.044350448111232094,0.47304631878716813,-2.2853539704487684e-17,0.054309406147918585,0.33553898986514785
difference,R0-standard-noADR_ikmeans_minSize3000_K8,2,6.713894960350164,-1.3897127809402836,-1.1400974191697417,-0.667257729234066,-0.6549450337089205,-0.5973838452586461,0.5814151965223676,0.5656202263755714,-0.3752946081322317,-0.2379051171185654,0.22330545211210096,0.1683710785610496
