,representation_id,cluster,stays_in_week_nights,stays_in_weekend_nights,lead_time,hotel_Resort Hotel,hotel_City Hotel,kids,previous_bookings_not_canceled,market_segment_Offline TA/TO,adults,deposit_type_Non Refund,deposit_type_No Deposit,customer_type_Contract
cluster_mean,R0-standard-noADR_ikmeans_minSize3000_K8,1,1.8704874172085053,1.352037792548695,0.46980523140012576,0.7837674136886735,0.21623258631132647,-0.20843616638270052,-0.12272813176642194,0.31906588599501984,0.11149988028286416,0.028602193956524666,0.969648024766135,0.1095632276734639
grand_mean,R0-standard-noADR_ikmeans_minSize3000_K8,1,1.2188554509060098e-16,-6.856061911346305e-17,-1.2379000673264163e-16,0.33553898986514785,0.6644610101348521,-2.2853539704487684e-17,-2.6662462988568967e-17,0.20285618561018512,6.665615747142242e-18,0.1221794120110562,0.8764636904263339,0.03414021274813636
difference,R0-standard-noADR_ikmeans_minSize3000_K8,1,1.870487417208505,1.352037792548695,0.46980523140012587,0.4482284238235257,-0.4482284238235257,-0.2084361663827005,-0.12272813176642192,0.11620970038483472,0.11149988028286416,-0.09357721805453154,0.09318433433980111,0.07542301492532753
