,representation_id,cluster,stays_in_weekend_nights,stays_in_week_nights,lead_time,kids,market_segment_Online TA,previous_bookings_not_canceled,hotel_City Hotel,hotel_Resort Hotel,distribution_channel_TA/TO,adults,distribution_channel_Direct,market_segment_Direct
cluster_mean,R0-standard-noADR_ikmeans_minSize3000_K8,6,0.7969062546554401,-0.32420610290871055,0.2995110165732142,-0.27107670216335894,0.6225873761085029,-0.14716166500613886,0.7921603696251583,0.20783963037484166,0.9300618525970639,0.10586845458160833,0.05771667039272673,0.05324539831582085
grand_mean,R0-standard-noADR_ikmeans_minSize3000_K8,6,-6.856061911346305e-17,1.2188554509060098e-16,-1.2379000673264163e-16,-2.2853539704487684e-17,0.47304631878716813,-2.6662462988568967e-17,0.6644610101348521,0.33553898986514785,0.8197503978557669,6.665615747142242e-18,0.12266521484211408,0.1055867325571656
difference,R0-standard-noADR_ikmeans_minSize3000_K8,6,0.7969062546554402,-0.32420610290871066,0.29951101657321433,-0.27107670216335894,0.14954105732133477,-0.14716166500613884,0.1276993594903062,-0.1276993594903062,0.110311454741297,0.10586845458160833,-0.06494854444938736,-0.052341334241344746
