,representation_id,cluster,adults,market_segment_Online TA,kids,lead_time,hotel_City Hotel,hotel_Resort Hotel,customer_type_Transient,previous_bookings_not_canceled,market_segment_Groups,deposit_type_No Deposit,deposit_type_Non Refund,customer_type_Transient-Party
cluster_mean,R0-standard-noADR_ikmeans_minSize3000_K8,3,2.1166462204151193,0.7790839075800567,-0.2696029110563777,0.24323418230359078,0.8822456424807459,0.11775435751925416,0.8942034860154033,-0.14190691534372812,0.03830563437373328,0.9965545196595055,0.00263477908390758,0.0954600729631131
grand_mean,R0-standard-noADR_ikmeans_minSize3000_K8,3,6.665615747142242e-18,0.47304631878716813,-2.2853539704487684e-17,-1.2379000673264163e-16,0.6644610101348521,0.33553898986514785,0.7505905017170618,-2.6662462988568967e-17,0.16593517044978642,0.8764636904263339,0.1221794120110562,0.21043638495686406
difference,R0-standard-noADR_ikmeans_minSize3000_K8,3,2.1166462204151193,0.3060375887928886,-0.2696029110563777,0.2432341823035909,0.21778463234589374,-0.21778463234589368,0.14361298429834157,-0.1419069153437281,-0.12762953607605315,0.1200908292331716,-0.11954463292714862,-0.11497631199375097
