,representation_id,cluster,stays_in_weekend_nights,lead_time,kids,market_segment_Groups,deposit_type_No Deposit,deposit_type_Non Refund,market_segment_Online TA,hotel_Resort Hotel,hotel_City Hotel,previous_bookings_not_canceled,customer_type_Transient-Party,customer_type_Transient
cluster_mean,R0-standard-noADR_ikmeans_minSize3000_K8,4,-0.7703065792976629,0.6665244653354182,-0.2710767021633976,0.3843392953281091,0.6598372913800323,0.3375904767601842,0.28043309206197287,0.1686905545253335,0.8313094454746665,-0.14486899568470255,0.3523060357719687,0.6140754920141174
grand_mean,R0-standard-noADR_ikmeans_minSize3000_K8,4,-6.856061911346305e-17,-1.2379000673264163e-16,-2.2853539704487684e-17,0.16593517044978642,0.8764636904263339,0.1221794120110562,0.47304631878716813,0.33553898986514785,0.6644610101348521,-2.6662462988568967e-17,0.21043638495686406,0.7505905017170618
difference,R0-standard-noADR_ikmeans_minSize3000_K8,4,-0.7703065792976628,0.6665244653354183,-0.2710767021633976,0.2184041248783227,-0.21662639904630154,0.21541106474912802,-0.19261322672519526,-0.16684843533981436,0.1668484353398143,-0.14486899568470252,0.1418696508151046,-0.1365150097029444
