,representation_id,cluster,kids,market_segment_Online TA,stays_in_weekend_nights,adults,customer_type_Transient,market_segment_Groups,stays_in_week_nights,customer_type_Transient-Party,market_segment_Offline TA/TO,previous_bookings_not_canceled,deposit_type_No Deposit,deposit_type_Non Refund
cluster_mean,R0-standard-noADR_ikmeans_minSize3000_K8,0,3.2966918187217042,0.74524089306698,0.17761182652623697,0.16999874750886784,0.9124559341950647,0.005757931844888367,0.15215230790205916,0.06756756756756757,0.06474735605170388,-0.13737769189392124,0.9990599294947121,0.0005875440658049354
grand_mean,R0-standard-noADR_ikmeans_minSize3000_K8,0,-2.2853539704487684e-17,0.47304631878716813,-6.856061911346305e-17,6.665615747142242e-18,0.7505905017170618,0.16593517044978642,1.2188554509060098e-16,0.21043638495686406,0.20285618561018512,-2.6662462988568967e-17,0.8764636904263339,0.1221794120110562
difference,R0-standard-noADR_ikmeans_minSize3000_K8,0,3.2966918187217042,0.2721945742798119,0.17761182652623703,0.16999874750886784,0.1618654324780029,-0.16017723860489805,0.15215230790205905,-0.1428688173892965,-0.13810882955848125,-0.1373776918939212,0.12259623906837824,-0.12159186794525126
