method , min_cluster_size, K , silhouette         , calinski_harabasz , davies_bouldin    , n_iterations, converged, ap_cluster_sizes                                                 , ap_scatter_pct
ikmeans,             1000, 10, 0.11774933634933792,  6544.487301968358, 1.917277997933187 ,           37, True     , "[2753, 8475, 10604, 11862, 15710, 8392, 1144, 1079, 2071, 1860]", "[11.163361911674084, 8.708388945353231, 8.903264967779284, 6.122671128456265, 4.001359300584646, 2.382465795388375, 0.42442987812922567, 0.5182701260670797, 0.39529551044211514, 0.2536192047136266]"
ikmeans,             1500,  8, 0.11933268677886022,  7526.133803857769, 2.0910388878476915,           33, True     , "[2753, 8475, 10604, 11862, 15710, 8392, 2071, 1860]"            , "[11.163361911674084, 8.708388945353231, 8.903264967779284, 6.122671128456265, 4.001359300584646, 2.382465795388375, 0.39529551044211514, 0.2536192047136266]"
ikmeans,             2000,  7, 0.12236709487309576,  8332.449720063267, 1.8998784609826938,           14, True     , "[2753, 8475, 10604, 11862, 15710, 8392, 2071]"                  , "[11.163361911674084, 8.708388945353231, 8.903264967779284, 6.122671128456265, 4.001359300584646, 2.382465795388375, 0.39529551044211514]"
ikmeans,             3000,  5, 0.1646983040105734 , 10173.996553379902, 1.6907379739217627,           67, True     , "[8475, 10604, 11862, 15710, 8392]"                              , "[8.708388945353231, 8.903264967779284, 6.122671128456265, 4.001359300584646, 2.382465795388375]"
ikmeans,             5000,  5, 0.1646983040105734 , 10173.996553379902, 1.6907379739217627,           67, True     , "[8475, 10604, 11862, 15710, 8392]"                              , "[8.708388945353231, 8.903264967779284, 6.122671128456265, 4.001359300584646, 2.382465795388375]"
ikmeans,             8000,  5, 0.1646983040105734 , 10173.996553379902, 1.6907379739217627,           67, True     , "[8475, 10604, 11862, 15710, 8392]"                              , "[8.708388945353231, 8.903264967779284, 6.122671128456265, 4.001359300584646, 2.382465795388375]"
ikmeans,             9000,  3, 0.15180738540862868,  9367.782356362728, 2.060498708015443 ,           23, True     , "[10604, 11862, 15710]"                                          , "[8.903264967779284, 6.122671128456265, 4.001359300584646]"
ikmeans,            11000,  2, 0.15577556800747827,  9782.089795987544, 2.277260292639819 ,           47, True     , "[11862, 15710]"                                                 , "[6.122671128456265, 4.001359300584646]"
