selection_metric , method , min_cluster_size, K, silhouette        , calinski_harabasz , davies_bouldin    , n_iterations, converged, ap_cluster_sizes                   , ap_scatter_pct
silhouette       , ikmeans,             3000, 5, 0.1646983040105734, 10173.996553379902, 1.6907379739217627,           67, True     , "[8475, 10604, 11862, 15710, 8392]", "[8.708388945353231, 8.903264967779284, 6.122671128456265, 4.001359300584646, 2.382465795388375]"
calinski_harabasz, ikmeans,             3000, 5, 0.1646983040105734, 10173.996553379902, 1.6907379739217627,           67, True     , "[8475, 10604, 11862, 15710, 8392]", "[8.708388945353231, 8.903264967779284, 6.122671128456265, 4.001359300584646, 2.382465795388375]"
davies_bouldin   , ikmeans,             3000, 5, 0.1646983040105734, 10173.996553379902, 1.6907379739217627,           67, True     , "[8475, 10604, 11862, 15710, 8392]", "[8.708388945353231, 8.903264967779284, 6.122671128456265, 4.001359300584646, 2.382465795388375]"
