,representation_id,cluster,stays_in_week_nights,stays_in_weekend_nights,lead_time,hotel_Resort Hotel,hotel_City Hotel,kids,previous_bookings_not_canceled,market_segment_Offline TA/TO,adults,market_segment_Online TA,customer_type_Contract,distribution_channel_TA/TO
cluster_mean,kmeans_K5_seed1504,0,1.4484461482804247,1.204820996530065,0.5508790081173722,0.7400456919060052,0.2599543080939948,-0.24945472184102366,-0.17052350713313263,0.31111292428198434,0.10381520710734594,0.5132180156657964,0.10656005221932115,0.8472584856396866
grand_mean,kmeans_K5_seed1504,0,-1.1356440110167829e-16,0.0,1.5260216398038018e-16,0.3969314332984751,0.6030685667015249,-7.984996952461754e-17,2.129332520656468e-17,0.16898968299801775,1.3175244971561895e-16,0.5909098003714746,0.04056564016919259,0.790507109522546
difference,kmeans_K5_seed1504,0,1.448446148280425,1.204820996530065,0.5508790081173721,0.34311425860753014,-0.3431142586075301,-0.24945472184102357,-0.17052350713313266,0.14212324128396658,0.10381520710734582,-0.07769178470567817,0.06599441205012856,0.05675137611714065
