,representation_id,cluster,lead_time,kids,stays_in_week_nights,adults,stays_in_weekend_nights,previous_bookings_not_canceled,hotel_City Hotel,hotel_Resort Hotel,distribution_channel_TA/TO,market_segment_Online TA,distribution_channel_Direct,market_segment_Direct
cluster_mean,kmeans_K5_seed1504,1,0.434924978506786,-0.36282668251264655,-0.26100226645178953,0.22549689467069706,-0.20985169982620547,-0.19200837771140766,0.7757494035888394,0.22425059641116066,0.9166753103066764,0.7146907305604536,0.07347094008228745,0.0682501815164402
grand_mean,kmeans_K5_seed1504,1,1.5260216398038018e-16,-7.984996952461754e-17,-1.1356440110167829e-16,1.3175244971561895e-16,0.0,2.129332520656468e-17,0.6030685667015249,0.3969314332984751,0.790507109522546,0.5909098003714746,0.14894878958622734,0.13647785980739516
difference,kmeans_K5_seed1504,1,0.43492497850678585,-0.3628266825126465,-0.2610022664517894,0.22549689467069692,-0.20985169982620547,-0.1920083777114077,0.1726808368873145,-0.17268083688731442,0.12616820078413038,0.12378093018897907,-0.07547784950393989,-0.06822767829095495
