,representation_id,cluster,kids,previous_bookings_not_canceled,market_segment_Online TA,lead_time,market_segment_Offline TA/TO,arrival_date_month_August,adults,customer_type_Transient,arrival_date_month_July,distribution_channel_Corporate,market_segment_Corporate,customer_type_Transient-Party
cluster_mean,kmeans_K5_seed1504,3,2.5096908506091755,-0.18945043874979653,0.7520991052993806,0.15543346098292435,0.06097728836889195,0.21940812112869923,0.08177872397301358,0.9187887130075706,0.18169304886441845,0.004267033723331039,0.0033035099793530627,0.06070199587061253
grand_mean,kmeans_K5_seed1504,3,-7.984996952461754e-17,2.129332520656468e-17,0.5909098003714746,1.5260216398038018e-16,0.16898968299801775,0.13515116515007258,1.3175244971561895e-16,0.8468682202000968,0.123663550234903,0.058140442335606925,0.05061730321996597,0.10452793082457976
difference,kmeans_K5_seed1504,3,2.5096908506091755,-0.18945043874979656,0.16118930492790606,0.1554334609829242,-0.1080123946291258,0.08425695597862665,0.08177872397301346,0.07192049280747381,0.05802949862951545,-0.05387340861227589,-0.04731379324061291,-0.04382593495396723
