,representation_id,cluster,previous_bookings_not_canceled,lead_time,adults,stays_in_weekend_nights,stays_in_week_nights,distribution_channel_TA/TO,distribution_channel_Corporate,market_segment_Corporate,market_segment_Online TA,kids,has_previous_cancellation,market_segment_Offline TA/TO
cluster_mean,kmeans_K5_seed1504,2,5.033647249454832,-1.4054675407490027,-1.0350125152617882,-0.7496734762915411,-0.7368452442818163,0.14669421487603307,0.6456611570247934,0.6172520661157025,0.09607438016528926,-0.3383481662052607,0.2856404958677686,0.0371900826446281
grand_mean,kmeans_K5_seed1504,2,2.129332520656468e-17,1.5260216398038018e-16,1.3175244971561895e-16,0.0,-1.1356440110167829e-16,0.790507109522546,0.058140442335606925,0.05061730321996597,0.5909098003714746,-7.984996952461754e-17,0.025051116764738018,0.16898968299801775
difference,kmeans_K5_seed1504,2,5.033647249454832,-1.405467540749003,-1.0350125152617884,-0.7496734762915411,-0.7368452442818162,-0.6438128946465129,0.5875207146891865,0.5666347628957366,-0.4948354202061853,-0.33834816620526065,0.26058937910303054,-0.13179960035338967
