,representation_id,cluster,lead_time,stays_in_week_nights,stays_in_weekend_nights,adults,kids,distribution_channel_TA/TO,market_segment_Online TA,distribution_channel_Direct,market_segment_Direct,distribution_channel_Corporate,market_segment_Corporate,arrival_date_month_July
cluster_mean,kmeans_K5_seed1504,4,-1.2958687422010242,-0.6212629182589505,-0.5183527670648326,-0.4664142057846648,-0.2941419220323253,0.5500767039228578,0.3833735115786398,0.29527357732485937,0.26473811089195703,0.14566440207465847,0.12769376871940974,0.05975600847395719
grand_mean,kmeans_K5_seed1504,4,1.5260216398038018e-16,-1.1356440110167829e-16,0.0,1.3175244971561895e-16,-7.984996952461754e-17,0.790507109522546,0.5909098003714746,0.14894878958622734,0.13647785980739516,0.058140442335606925,0.05061730321996597,0.123663550234903
difference,kmeans_K5_seed1504,4,-1.2958687422010244,-0.6212629182589504,-0.5183527670648326,-0.4664142057846649,-0.29414192203232525,-0.2404304055996882,-0.20753628879283476,0.14632478773863203,0.12826025108456188,0.08752395973905155,0.07707646549944377,-0.0639075417609458
