,representation_id,cluster,stays_in_week_nights,stays_in_weekend_nights,lead_time,hotel_Resort Hotel,hotel_City Hotel,kids,previous_bookings_not_canceled,market_segment_Offline TA/TO,adults,deposit_type_Non Refund,deposit_type_No Deposit,customer_type_Contract
cluster_mean,R0-standard-noADR_kmeans_K7_run9_seed1709,1,1.8431591006197825,1.3431934325885324,0.4718432298571305,0.7708455954483029,0.22915440455169708,-0.20766959714210284,-0.12358134332047016,0.3243738146622196,0.10519242114003013,0.03760381924007586,0.9605650382577987,0.10797200967889609
grand_mean,R0-standard-noADR_kmeans_K7_run9_seed1709,1,1.2188554509060098e-16,-6.856061911346305e-17,-1.2379000673264163e-16,0.33553898986514785,0.6644610101348521,-2.2853539704487684e-17,-2.6662462988568967e-17,0.20285618561018512,6.665615747142242e-18,0.1221794120110562,0.8764636904263339,0.03414021274813636
difference,R0-standard-noADR_kmeans_K7_run9_seed1709,1,1.8431591006197823,1.3431934325885324,0.4718432298571306,0.43530660558315504,-0.43530660558315504,-0.2076695971421028,-0.12358134332047013,0.12151762905203448,0.10519242114003013,-0.08457559277098034,0.08410134783146483,0.07383179693075972
