,representation_id,cluster,stays_in_weekend_nights,lead_time,kids,deposit_type_No Deposit,deposit_type_Non Refund,market_segment_Groups,market_segment_Online TA,hotel_City Hotel,hotel_Resort Hotel,previous_bookings_not_canceled,customer_type_Transient-Party,customer_type_Transient
cluster_mean,R0-standard-noADR_kmeans_K7_run9_seed1709,5,-0.7805198872649173,0.5782626460129787,-0.2710767021634143,0.6851866698735937,0.3124883080787835,0.3559421684171143,0.30134423688500495,0.8236991902509421,0.17630080974905796,-0.14445651939491175,0.3516395414094444,0.6154627328362596
grand_mean,R0-standard-noADR_kmeans_K7_run9_seed1709,5,-6.856061911346305e-17,-1.2379000673264163e-16,-2.2853539704487684e-17,0.8764636904263339,0.1221794120110562,0.16593517044978642,0.47304631878716813,0.6644610101348521,0.33553898986514785,-2.6662462988568967e-17,0.21043638495686406,0.7505905017170618
difference,R0-standard-noADR_kmeans_K7_run9_seed1709,5,-0.7805198872649172,0.5782626460129788,-0.2710767021634143,-0.1912770205527402,0.19030889606772733,0.19000699796732787,-0.17170208190216318,0.15923818011608992,-0.1592381801160899,-0.14445651939491172,0.14120315645258036,-0.13512776888080213
