            , representation_id                        , cluster, kids                   , market_segment_Online TA, adults               , stays_in_weekend_nights, customer_type_Transient, market_segment_Groups, customer_type_Transient-Party, market_segment_Offline TA/TO, stays_in_week_nights  , previous_bookings_not_canceled, deposit_type_No Deposit, deposit_type_Non Refund
cluster_mean, R0-standard-noADR_kmeans_K7_run9_seed1709,       0, 3.2841948288464407     ,      0.74488609948861   , 0.17666848932802337  , 0.1651855604953257     ,     0.9127150162715016 , 0.005695025569502557 , 0.06729428172942817          , 0.06403998140399814         , 0.13773681731751308   , -0.13693352050128954          ,     0.9989539748953975 , 0.000697350069735007
grand_mean  , R0-standard-noADR_kmeans_K7_run9_seed1709,       0, -2.2853539704487684e-17,      0.47304631878716813, 6.665615747142242e-18, -6.856061911346305e-17 ,     0.7505905017170618 , 0.16593517044978642  , 0.21043638495686406          , 0.20285618561018512         , 1.2188554509060098e-16, -2.6662462988568967e-17       ,     0.8764636904263339 , 0.1221794120110562
difference  , R0-standard-noADR_kmeans_K7_run9_seed1709,       0, 3.2841948288464407     ,      0.2718397807014418 , 0.17666848932802337  , 0.16518556049532576    ,     0.16212451455443988, -0.16024014488028387 , -0.1431421032274359          , -0.13881620420618698        , 0.13773681731751297   , -0.1369335205012895           ,     0.12249028446906363, -0.12148206194132119
