,representation_id,cluster,stays_in_weekend_nights,stays_in_week_nights,kids,lead_time,market_segment_Online TA,previous_bookings_not_canceled,hotel_Resort Hotel,hotel_City Hotel,distribution_channel_TA/TO,adults,distribution_channel_Direct,market_segment_Direct
cluster_mean,R0-standard-noADR_kmeans_K7_run9_seed1709,6,0.7645981209665226,-0.3494442468283471,-0.271076702163371,0.22351006213122582,0.6349744737394223,-0.14539196308093916,0.21655360514721309,0.7834463948527869,0.926917966291349,0.06770497570477844,0.05874536680886775,0.05479404154136653
grand_mean,R0-standard-noADR_kmeans_K7_run9_seed1709,6,-6.856061911346305e-17,1.2188554509060098e-16,-2.2853539704487684e-17,-1.2379000673264163e-16,0.47304631878716813,-2.6662462988568967e-17,0.33553898986514785,0.6644610101348521,0.8197503978557669,6.665615747142242e-18,0.12266521484211408,0.1055867325571656
difference,R0-standard-noADR_kmeans_K7_run9_seed1709,6,0.7645981209665227,-0.34944424682834724,-0.271076702163371,0.22351006213122593,0.16192815495225416,-0.14539196308093913,-0.11898538471793477,0.11898538471793474,0.10716756843558217,0.06770497570477844,-0.06391984803324632,-0.050792691015799064
