,representation_id,cluster,adults,market_segment_Online TA,kids,hotel_City Hotel,hotel_Resort Hotel,lead_time,customer_type_Transient,previous_bookings_not_canceled,market_segment_Groups,deposit_type_No Deposit,deposit_type_Non Refund,customer_type_Transient-Party
cluster_mean,R0-standard-noADR_kmeans_K7_run9_seed1709,3,2.1117444571423047,0.7700097370983447,-0.26966059986114826,0.8732229795520935,0.12677702044790654,0.1656355211148084,0.89269717624148,-0.13873717343869557,0.03953261927945472,0.9962999026290166,0.002531645569620253,0.09678675754625121
grand_mean,R0-standard-noADR_kmeans_K7_run9_seed1709,3,6.665615747142242e-18,0.47304631878716813,-2.2853539704487684e-17,0.6644610101348521,0.33553898986514785,-1.2379000673264163e-16,0.7505905017170618,-2.6662462988568967e-17,0.16593517044978642,0.8764636904263339,0.1221794120110562,0.21043638495686406
difference,R0-standard-noADR_kmeans_K7_run9_seed1709,3,2.1117444571423047,0.2969634183111766,-0.26966059986114826,0.20876196941724134,-0.20876196941724132,0.1656355211148085,0.14210667452441827,-0.13873717343869554,-0.1264025511703317,0.1198362122026827,-0.11964776644143595,-0.11364962741061285
