,representation_id,cluster,lead_time,stays_in_week_nights,stays_in_weekend_nights,adults,distribution_channel_TA/TO,kids,distribution_channel_Direct,market_segment_Direct,hotel_City Hotel,hotel_Resort Hotel,market_segment_Groups,deposit_type_No Deposit
cluster_mean,R0-standard-noADR_kmeans_K7_run9_seed1709,4,-1.4983443078398662,-0.6352715016556986,-0.60029071265035,-0.4855495606455361,0.5538413239449254,-0.23835515095614085,0.29595909763645334,0.267345382786922,0.5363053325559493,0.46369466744405075,0.05009642552809795,0.9918823160066377
grand_mean,R0-standard-noADR_kmeans_K7_run9_seed1709,4,-1.2379000673264163e-16,1.2188554509060098e-16,-6.856061911346305e-17,6.665615747142242e-18,0.8197503978557669,-2.2853539704487684e-17,0.12266521484211408,0.1055867325571656,0.6644610101348521,0.33553898986514785,0.16593517044978642,0.8764636904263339
difference,R0-standard-noADR_kmeans_K7_run9_seed1709,4,-1.498344307839866,-0.6352715016556987,-0.6002907126503498,-0.4855495606455361,-0.2659090739108415,-0.23835515095614082,0.17329388279433927,0.16175865022975638,-0.1281556775789029,0.1281556775789029,-0.11583874492168847,0.1154186255803038
