method,representation_id,cluster,n,pct_total,canceled_count,not_canceled_count,cancellation_rate,global_cancellation_rate,difference_from_global
gmm,R1-robust-noADR_gmm_tied_K8_run1_seed3801,0,12587,0.10542759025043974,1918,10669,0.1523794391038373,0.37041628277075134,-0.21803684366691403
gmm,R1-robust-noADR_gmm_tied_K8_run1_seed3801,1,14587,0.1221794120110562,14494,93,0.9936244601357374,0.37041628277075134,0.623208177364986
gmm,R1-robust-noADR_gmm_tied_K8_run1_seed3801,2,17686,0.14813635982913143,6216,11470,0.3514644351464435,0.37041628277075134,-0.01895184762430785
gmm,R1-robust-noADR_gmm_tied_K8_run1_seed3801,3,38587,0.3232012731384538,14440,24147,0.37421929665431364,0.37041628277075134,0.0038030138835623006
gmm,R1-robust-noADR_gmm_tied_K8_run1_seed3801,4,17351,0.14533042968422816,3133,14218,0.18056596161604518,0.37041628277075134,-0.18985032115470615
gmm,R1-robust-noADR_gmm_tied_K8_run1_seed3801,5,6136,0.05139458916157132,869,5267,0.1416232073011734,0.37041628277075134,-0.22879307546957794
gmm,R1-robust-noADR_gmm_tied_K8_run1_seed3801,6,10448,0.08751151687746042,2826,7622,0.2704823889739663,0.37041628277075134,-0.09993389379678502
gmm,R1-robust-noADR_gmm_tied_K8_run1_seed3801,7,2008,0.016818829047658933,328,1680,0.16334661354581673,0.37041628277075134,-0.2070696692249346
