,representation_id,cluster,market_segment_Online TA,hotel_City Hotel,hotel_Resort Hotel,market_segment_Offline TA/TO,distribution_channel_TA/TO,market_segment_Groups,customer_type_Transient-Party,customer_type_Transient,deposit_type_No Deposit,deposit_type_Non Refund,distribution_channel_Direct,adults
cluster_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,3,1.0,0.9996630989711561,0.00033690102884391117,0.0,0.9976416927980927,0.0,0.05341177080363853,0.9056158809961904,0.9996630989711561,0.0,0.0017622515354912276,-0.03125404929121207
grand_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,3,0.47304631878716813,0.6644610101348521,0.33553898986514785,0.20285618561018512,0.8197503978557669,0.16593517044978642,0.21043638495686406,0.7505905017170618,0.8764636904263339,0.1221794120110562,0.12266521484211408,-0.14359661613200436
difference,R1-robust-noADR_gmm_tied_K8_run1_seed3801,3,0.5269536812128319,0.335202088836304,-0.3352020888363039,-0.20285618561018512,0.1778912949423258,-0.16593517044978642,-0.15702461415322555,0.15502537927912863,0.12319940854482225,-0.1221794120110562,-0.12090296330662285,0.1123425668407923
