,representation_id,cluster,deposit_type_Non Refund,deposit_type_No Deposit,lead_time,market_segment_Online TA,market_segment_Groups,hotel_Resort Hotel,hotel_City Hotel,has_previous_cancellation,stays_in_week_nights,stays_in_weekend_nights,market_segment_Offline TA/TO,customer_type_Transient
cluster_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,1,1.0,0.0,0.40010645683948254,0.003839034756975389,0.6287790498388977,0.11784465620072668,0.8821553437992733,0.24994858435593337,0.04068691300473024,-0.19243161719339139,0.3431822855967642,0.884966065674916
grand_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,1,0.1221794120110562,0.8764636904263339,-0.1911149426039387,0.47304631878716813,0.16593517044978642,0.33553898986514785,0.6644610101348521,0.054309406147918585,0.23358321467459586,-0.04930898735237457,0.20285618561018512,0.7505905017170618
difference,R1-robust-noADR_gmm_tied_K8_run1_seed3801,1,0.8778205879889438,-0.8764636904263339,0.5912213994434212,-0.46920728403019274,0.4628438793891112,-0.21769433366442117,0.21769433366442115,0.1956391782080148,-0.19289630166986563,-0.1431226298410168,0.1403260999865791,0.13437556395785422
