,representation_id,cluster,market_segment_Groups,customer_type_Transient-Party,customer_type_Transient,market_segment_Online TA,lead_time,market_segment_Offline TA/TO,deposit_type_Non Refund,adults,deposit_type_No Deposit,market_segment_Direct,kids,stays_in_week_nights
cluster_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,6,1.0,0.9541539050535988,0.04431470137825421,0.0,0.10136208544646981,0.0,0.0,-0.2655053598774885,0.9875574272588055,0.0,0.00641271056661562,0.14749234303215927
grand_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,6,0.16593517044978642,0.21043638495686406,0.7505905017170618,0.47304631878716813,-0.1911149426039387,0.20285618561018512,0.1221794120110562,-0.14359661613200436,0.8764636904263339,0.1055867325571656,0.11183516207387553,0.23358321467459586
difference,R1-robust-noADR_gmm_tied_K8_run1_seed3801,6,0.8340648295502135,0.7437175200967348,-0.7062758003388075,-0.47304631878716813,0.2924770280504085,-0.20285618561018512,-0.1221794120110562,-0.12190874374548416,0.11109373683247159,-0.1055867325571656,-0.10542245150725991,-0.08609087164243659
