,representation_id,cluster,market_segment_Offline TA/TO,market_segment_Online TA,customer_type_Transient-Party,customer_type_Transient,distribution_channel_TA/TO,market_segment_Groups,lead_time,deposit_type_No Deposit,deposit_type_Non Refund,distribution_channel_Direct,stays_in_week_nights,market_segment_Direct
cluster_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,4,1.0,0.0,0.4446429600599389,0.5431963575586422,0.9872053483949051,0.0,-0.058015726310964674,0.9998847328684226,0.0,0.0008645034868307302,0.34096017520604,0.0
grand_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,4,0.20285618561018512,0.47304631878716813,0.21043638495686406,0.7505905017170618,0.8197503978557669,0.16593517044978642,-0.1911149426039387,0.8764636904263339,0.1221794120110562,0.12266521484211408,0.23358321467459586,0.1055867325571656
difference,R1-robust-noADR_gmm_tied_K8_run1_seed3801,4,0.7971438143898149,-0.47304631878716813,0.23420657510307485,-0.2073941441584196,0.16745495053913828,-0.16593517044978642,0.133099216292974,0.12342104244208874,-0.1221794120110562,-0.12180071135528335,0.10737696053144413,-0.1055867325571656
