,representation_id,cluster,lead_time,market_segment_Corporate,distribution_channel_TA/TO,distribution_channel_Corporate,adults,previous_bookings_not_canceled,market_segment_Online TA,stays_in_week_nights,stays_in_weekend_nights,market_segment_Offline TA/TO,market_segment_Groups,market_segment_Other
cluster_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,5,-1.0490437393747816,0.8085071707953064,0.05704041720990873,0.7900912646675359,-0.7429921773142112,0.5081600208773369,0.024119947848761408,-0.20616036505867014,-0.2791720990873533,0.007333767926988266,0.0,0.15971316818774445
grand_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,5,-0.1911149426039387,0.044350448111232094,0.8197503978557669,0.05592595694781807,-0.14359661613200436,0.04012632163765451,0.47304631878716813,0.23358321467459586,-0.04930898735237457,0.20285618561018512,0.16593517044978642,0.008208392662702069
difference,R1-robust-noADR_gmm_tied_K8_run1_seed3801,5,-0.8579287967708429,0.7641567226840743,-0.7627099806458582,0.7341653077197178,-0.5993955611822068,0.4680336992396824,-0.4489263709384067,-0.439743579733266,-0.22986311173497873,-0.19552241768319686,-0.16593517044978642,0.15150477552504238
