,representation_id,cluster,hotel_City Hotel,hotel_Resort Hotel,market_segment_Online TA,stays_in_week_nights,market_segment_Offline TA/TO,distribution_channel_TA/TO,market_segment_Groups,customer_type_Transient,customer_type_Transient-Party,deposit_type_No Deposit,deposit_type_Non Refund,distribution_channel_Direct
cluster_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,2,0.0,1.0,1.0,0.5009612122582834,0.0,0.9957028157864978,0.0,0.913434354856949,0.08181612574918014,0.9997172905122695,0.0,0.003675223340495307
grand_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,2,0.6644610101348521,0.33553898986514785,0.47304631878716813,0.23358321467459586,0.20285618561018512,0.8197503978557669,0.16593517044978642,0.7505905017170618,0.21043638495686406,0.8764636904263339,0.1221794120110562,0.12266521484211408
difference,R1-robust-noADR_gmm_tied_K8_run1_seed3801,2,-0.6644610101348521,0.6644610101348521,0.5269536812128319,0.2673779975836875,-0.20285618561018512,0.1759524179307309,-0.16593517044978642,0.16284385313988725,-0.12862025920768394,0.12325360008593567,-0.1221794120110562,-0.11898999150161878
