,representation_id,cluster,market_segment_Direct,distribution_channel_Direct,distribution_channel_TA/TO,lead_time,market_segment_Online TA,market_segment_Offline TA/TO,hotel_Resort Hotel,hotel_City Hotel,market_segment_Groups,customer_type_Transient,deposit_type_No Deposit,deposit_type_Non Refund
cluster_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,0,1.0,0.9737824739810916,0.018828950504488757,-0.7717916913813863,0.0,0.0,0.5173591801064591,0.48264081989354096,0.0,0.8993405894971002,0.9995233177087471,0.0
grand_mean,R1-robust-noADR_gmm_tied_K8_run1_seed3801,0,0.1055867325571656,0.12266521484211408,0.8197503978557669,-0.1911149426039387,0.47304631878716813,0.20285618561018512,0.33553898986514785,0.6644610101348521,0.16593517044978642,0.7505905017170618,0.8764636904263339,0.1221794120110562
difference,R1-robust-noADR_gmm_tied_K8_run1_seed3801,0,0.8944132674428344,0.8511172591389775,-0.8009214473512781,-0.5806767487774476,-0.47304631878716813,-0.20285618561018512,0.18182019024131124,-0.18182019024131119,-0.16593517044978642,0.1487500877800384,0.12305962728241326,-0.1221794120110562
