method,representation_id,cluster,n,pct_total,canceled_count,not_canceled_count,cancellation_rate,global_cancellation_rate,difference_from_global
ikmeans,R1-robust-noADR_ikmeans_minSize3000_K9,0,13085,0.10959879386883324,4555,8530,0.3481085212074895,0.37041628277075134,-0.022307761563261863
ikmeans,R1-robust-noADR_ikmeans_minSize3000_K9,1,14105,0.11814222296674763,1323,12782,0.09379652605459057,0.37041628277075134,-0.2766197567161608
ikmeans,R1-robust-noADR_ikmeans_minSize3000_K9,2,14121,0.11827623754083257,14066,55,0.9961050917073861,0.37041628277075134,0.6256888089366348
ikmeans,R1-robust-noADR_ikmeans_minSize3000_K9,3,7936,0.06647122874612614,1493,6443,0.18813004032258066,0.37041628277075134,-0.18228624244817068
ikmeans,R1-robust-noADR_ikmeans_minSize3000_K9,4,18860,0.1579696792026133,4624,14236,0.24517497348886533,0.37041628277075134,-0.125241309281886
ikmeans,R1-robust-noADR_ikmeans_minSize3000_K9,5,5239,0.04388139710193484,2231,3008,0.42584462683718266,0.37041628277075134,0.05542834406643132
ikmeans,R1-robust-noADR_ikmeans_minSize3000_K9,6,28946,0.24244911634140212,11517,17429,0.3978788088164168,0.37041628277075134,0.02746252604566546
ikmeans,R1-robust-noADR_ikmeans_minSize3000_K9,7,6500,0.05444342072200352,1007,5493,0.1549230769230769,0.37041628277075134,-0.21549320584767442
ikmeans,R1-robust-noADR_ikmeans_minSize3000_K9,8,10598,0.08876790350950665,3408,7190,0.32157010756746557,0.37041628277075134,-0.04884617520328577
