,representation_id,cluster,hotel_City Hotel,hotel_Resort Hotel,market_segment_Online TA,market_segment_Offline TA/TO,distribution_channel_TA/TO,customer_type_Transient,market_segment_Groups,stays_in_week_nights,customer_type_Transient-Party,lead_time,deposit_type_No Deposit,deposit_type_Non Refund
cluster_mean,R1-robust-noADR_ikmeans_minSize3000_K9,8,0.0,1.0,0.9865068880920929,0.0,0.9914134742404227,0.9130024532930742,0.00443479901868277,0.07671258728061899,0.08265710511417249,-0.3169345925381891,0.9993394980184941,0.0001887148518588413
grand_mean,R1-robust-noADR_ikmeans_minSize3000_K9,8,0.6644610101348521,0.33553898986514785,0.47304631878716813,0.20285618561018512,0.8197503978557669,0.7505905017170618,0.16593517044978642,0.23358321467459586,0.21043638495686406,-0.1911149426039387,0.8764636904263339,0.1221794120110562
difference,R1-robust-noADR_ikmeans_minSize3000_K9,8,-0.6644610101348521,0.6644610101348521,0.5134605693049248,-0.20285618561018512,0.17166307638465583,0.1624119515760124,-0.16150037143110366,-0.1568706273939769,-0.12777927984269158,-0.12581964993425043,0.12287580759216021,-0.12199069715919736
