,representation_id,cluster,stays_in_week_nights,stays_in_weekend_nights,hotel_City Hotel,hotel_Resort Hotel,lead_time,market_segment_Offline TA/TO,adults,deposit_type_Non Refund,deposit_type_No Deposit,customer_type_Contract,distribution_channel_TA/TO,market_segment_Groups
cluster_mean,R1-robust-noADR_ikmeans_minSize3000_K9,0,1.9438288116163547,0.5931601069927398,0.17607948032097823,0.8239205196790218,0.21260743506927923,0.3469621704241498,-0.04508979747802828,0.024990447076805502,0.972946121513183,0.12510508215513946,0.9085976308750477,0.09583492548719909
grand_mean,R1-robust-noADR_ikmeans_minSize3000_K9,0,0.23358321467459586,-0.04930898735237457,0.6644610101348521,0.33553898986514785,-0.1911149426039387,0.20285618561018512,-0.14359661613200436,0.1221794120110562,0.8764636904263339,0.03414021274813636,0.8197503978557669,0.16593517044978642
difference,R1-robust-noADR_ikmeans_minSize3000_K9,0,1.7102455969417587,0.6424690943451143,-0.48838152981387395,0.48838152981387395,0.40372237767321795,0.14410598481396467,0.09850681865397609,-0.0971889649342507,0.09648243108684917,0.0909648694070031,0.08884723301928088,-0.07010024496258734
