,representation_id,cluster,kids,market_segment_Online TA,market_segment_Offline TA/TO,customer_type_Transient,customer_type_Transient-Party,market_segment_Groups,distribution_channel_TA/TO,deposit_type_No Deposit,deposit_type_Non Refund,distribution_channel_Direct,hotel_Resort Hotel,hotel_City Hotel
cluster_mean,R1-robust-noADR_ikmeans_minSize3000_K9,5,1.602595915251002,0.9692689444550486,0.01374308074059935,0.9316663485397977,0.043328879557167396,0.0013361328497804924,0.9841572819240313,0.999045619393014,0.0007635044855888528,0.013552204619202137,0.23954953235350257,0.7604504676464974
grand_mean,R1-robust-noADR_ikmeans_minSize3000_K9,5,0.11183516207387553,0.47304631878716813,0.20285618561018512,0.7505905017170618,0.21043638495686406,0.16593517044978642,0.8197503978557669,0.8764636904263339,0.1221794120110562,0.12266521484211408,0.33553898986514785,0.6644610101348521
difference,R1-robust-noADR_ikmeans_minSize3000_K9,5,1.4907607531771265,0.4962226256678805,-0.18911310486958577,0.18107584682273592,-0.16710750539969665,-0.16459903760000594,0.16440688406826443,0.12258192896668008,-0.12141590752546734,-0.10911301022291195,-0.09598945751164528,0.09598945751164523
