,representation_id,cluster,customer_type_Transient-Party,customer_type_Transient,market_segment_Online TA,lead_time,market_segment_Groups,stays_in_week_nights,market_segment_Offline TA/TO,adults,hotel_City Hotel,hotel_Resort Hotel,deposit_type_Non Refund,deposit_type_No Deposit
cluster_mean,R1-robust-noADR_ikmeans_minSize3000_K9,4,0.9861081654294804,0.004612937433722163,0.08690349946977731,0.1325115948249377,0.48393425238600213,-0.0056998939554612936,0.3753976670201485,-0.276033934252386,0.7927889713679745,0.20721102863202545,0.004347826086956522,0.9899257688229056
grand_mean,R1-robust-noADR_ikmeans_minSize3000_K9,4,0.21043638495686406,0.7505905017170618,0.47304631878716813,-0.1911149426039387,0.16593517044978642,0.23358321467459586,0.20285618561018512,-0.14359661613200436,0.6644610101348521,0.33553898986514785,0.1221794120110562,0.8764636904263339
difference,R1-robust-noADR_ikmeans_minSize3000_K9,4,0.7756717804726163,-0.7459775642833396,-0.3861428193173908,0.32362653742887637,0.31799908193621573,-0.23928310863005717,0.17254148140996337,-0.13243731812038162,0.1283279612331224,-0.1283279612331224,-0.11783158592409967,0.11346207839657174
