,representation_id,cluster,distribution_channel_Direct,market_segment_Direct,distribution_channel_TA/TO,market_segment_Online TA,market_segment_Offline TA/TO,market_segment_Groups,adults,customer_type_Transient,kids,hotel_Resort Hotel,hotel_City Hotel,deposit_type_No Deposit
cluster_mean,R1-robust-noADR_ikmeans_minSize3000_K9,3,0.9974798387096774,0.9657258064516129,0.00025201612903225806,0.0,0.0005040322580645161,0.014112903225806451,-0.00390625,0.8835685483870968,0.2444556451612903,0.4653477822580645,0.5346522177419355,0.9976058467741935
grand_mean,R1-robust-noADR_ikmeans_minSize3000_K9,3,0.12266521484211408,0.1055867325571656,0.8197503978557669,0.47304631878716813,0.20285618561018512,0.16593517044978642,-0.14359661613200436,0.7505905017170618,0.11183516207387553,0.33553898986514785,0.6644610101348521,0.8764636904263339
difference,R1-robust-noADR_ikmeans_minSize3000_K9,3,0.8748146238675633,0.8601390738944473,-0.8194983817267346,-0.47304631878716813,-0.2023521533521206,-0.15182226722397998,0.13969036613200436,0.132978046670035,0.13262048308741478,0.12980879239291665,-0.12980879239291665,0.12114215634785963
