,representation_id,cluster,market_segment_Offline TA/TO,market_segment_Online TA,customer_type_Transient-Party,customer_type_Transient,distribution_channel_TA/TO,market_segment_Groups,deposit_type_No Deposit,distribution_channel_Direct,deposit_type_Non Refund,adults,market_segment_Direct,stays_in_week_nights
cluster_mean,R1-robust-noADR_ikmeans_minSize3000_K9,7,0.9990769230769231,0.0,0.0036923076923076922,0.9356923076923077,0.996,0.00015384615384615385,0.9992307692307693,0.00046153846153846153,0.0007692307692307692,-0.032,0.0,0.14823076923076922
grand_mean,R1-robust-noADR_ikmeans_minSize3000_K9,7,0.20285618561018512,0.47304631878716813,0.21043638495686406,0.7505905017170618,0.8197503978557669,0.16593517044978642,0.8764636904263339,0.12266521484211408,0.1221794120110562,-0.14359661613200436,0.1055867325571656,0.23358321467459586
difference,R1-robust-noADR_ikmeans_minSize3000_K9,7,0.7962207374667379,-0.47304631878716813,-0.20674407726455638,0.18510180597524595,0.17624960214423313,-0.16578132429594028,0.12276707880443538,-0.12220367638057562,-0.12141018124182543,0.11159661613200436,-0.1055867325571656,-0.08535244544382664
