,representation_id,cluster,market_segment_Online TA,hotel_City Hotel,hotel_Resort Hotel,customer_type_Transient-Party,customer_type_Transient,market_segment_Offline TA/TO,distribution_channel_TA/TO,market_segment_Groups,adults,deposit_type_No Deposit,distribution_channel_Direct,deposit_type_Non Refund
cluster_mean,R1-robust-noADR_ikmeans_minSize3000_K9,6,0.9975817038623644,1.0,0.0,0.0036619912941339046,0.9549160505769364,0.0,0.9964071028812271,0.0011746009811372902,0.014406135562772059,0.9997581703862365,0.0002072825260830512,0.0
grand_mean,R1-robust-noADR_ikmeans_minSize3000_K9,6,0.47304631878716813,0.6644610101348521,0.33553898986514785,0.21043638495686406,0.7505905017170618,0.20285618561018512,0.8197503978557669,0.16593517044978642,-0.14359661613200436,0.8764636904263339,0.12266521484211408,0.1221794120110562
difference,R1-robust-noADR_ikmeans_minSize3000_K9,6,0.5245353850751964,0.33553898986514785,-0.33553898986514785,-0.20677439366273015,0.20432554885987464,-0.20285618561018512,0.17665670502546027,-0.16476056946864914,0.15800275169477643,0.12329447995990261,-0.12245793231603103,-0.1221794120110562
