,representation_id,cluster,lead_time,stays_in_week_nights,distribution_channel_TA/TO,adults,stays_in_weekend_nights,previous_bookings_not_canceled,distribution_channel_Corporate,market_segment_Corporate,distribution_channel_Direct,market_segment_Direct,market_segment_Online TA,market_segment_Groups
cluster_mean,R1-robust-noADR_ikmeans_minSize3000_K9,1,-1.598409647693362,-0.47465437788018433,0.3732009925558313,-0.5555476781283233,-0.3116979794399149,0.2819297146060293,0.2838000708968451,0.26423254165189647,0.33527118043247073,0.30053172633817793,0.28224034030485645,0.01935483870967742
grand_mean,R1-robust-noADR_ikmeans_minSize3000_K9,1,-0.1911149426039387,0.23358321467459586,0.8197503978557669,-0.14359661613200436,-0.04930898735237457,0.04012632163765451,0.05592595694781807,0.044350448111232094,0.12266521484211408,0.1055867325571656,0.47304631878716813,0.16593517044978642
difference,R1-robust-noADR_ikmeans_minSize3000_K9,1,-1.4072947050894233,-0.7082375925547801,-0.4465494052999356,-0.4119510619963189,-0.2623889920875403,0.24180339296837478,0.22787411394902704,0.21988209354066438,0.21260596559035666,0.19494499378101232,-0.19080597848231168,-0.146580331740109
